
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 04:28:07 2024

Set parameter LogFile to value "gurobi_log/de_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x8cf11bc0
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [2e+02, 2e+02]
  QObjective range [1e+01, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 1428.0000000
Found heuristic solution: objective 424.0000000
Found heuristic solution: objective 383.0000000
Found heuristic solution: objective 359.0000000
Presolve time: 0.02s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)

Root relaxation: objective -2.253425e+03, 195 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 5814514 4726660 -1182.4366   68  127  306.00000 -1886.7037   717%  32.9  645s
 5867302 4769954 -1339.3289  108  116  306.00000 -1886.7037   717%  32.9  650s
 5921053 4815354 -1144.8746   89  109  306.00000 -1886.7037   717%  32.9  655s
 5979615 4863080 -534.49957  138   73  306.00000 -1886.7037   717%  32.8  660s
 6035723 4906013 -886.13921   70  106  306.00000 -1886.7037   717%  32.8  665s
 6087906 4949895     cutoff  136       306.00000 -1886.7037   717%  32.8  670s
 6144364 4994404   65.45302  167   34  306.00000 -1886.7037   717%  32.7  675s
 6189496 5028626 -1424.7788  107  128  306.00000 -1886.7037   717%  32.7  680s
 6240726 5069809 -1440.1554  100  134  306.00000 -1886.7037   717%  32.7  688s
 6256279 5083767 -432.39248   81   66  306.00000 -1886.7037   717%  32.7  690s
 6313465 5129399 -422.78632  127   68  306.00000 -1886.7037   717%  32.6  695s
 6372281 5177469  -67.67470  155   42  306.00000 -1886.7037   717%  32.6  700s
 6425280 5219596 -1602.9985   86  163  306.00000 -1886.7037   717%  32.6  705s
 6481750 5263723 -1090.1441   71  103  306.00000 -1886.7037   717%  32.6  710s
 6535903 5310250 -1237.5380   83  133  306.00000 -1886.7037   717%  32.6  715s
 6597659 5358733 -487.05951  125   73  306.00000 -1886.7037   717%  32.5  720s
 6649803 5400948 -252.90571  132   55  306.00000 -1886.7037   717%  32.5  725s
 6708094 5446320 -1100.1695   75  139  306.00000 -1886.7037   717%  32.5  730s
 6762745 5491140  -61.04609  155   31  306.00000 -1886.7037   717%  32.5  735s
 6813519 5530920 -1213.9240   66  120  306.00000 -1886.7037   717%  32.4  740s
 6873617 5579203 -1681.5733   72  153  306.00000 -1886.7037   717%  32.4  745s
 6932366 5626157 -1321.5553   85  117  306.00000 -1886.7037   717%  32.3  750s
 6982520 5668379 -1325.0988  100  124  306.00000 -1886.7037   717%  32.3  755s
 6994866 5675050 -1408.7644   97  135  306.00000 -1886.7037   717%  32.3  760s
 7043911 5716299  142.21428  153   29  306.00000 -1886.7037   717%  32.3  765s
 7094600 5756676     cutoff  134       306.00000 -1886.7037   717%  32.3  770s
 7149931 5801144 -721.28346   77   98  306.00000 -1886.7037   717%  32.3  775s
 7209357 5848290 -941.81434  110   98  306.00000 -1886.7037   717%  32.3  780s
 7263064 5890876 -1161.8036  111  116  306.00000 -1886.5624   717%  32.3  785s
 7306706 5923485 -242.37947  158   55  306.00000 -1885.0490   716%  32.3  790s
 7364384 5971576 -572.14807  117   80  306.00000 -1882.9865   715%  32.2  795s
 7419510 6016192 -1334.6850   83  136  306.00000 -1881.0251   715%  32.2  800s
 7478489 6064061 -1283.1523   98  127  306.00000 -1878.8892   714%  32.2  805s
 7537255 6109771 -1484.4981   84  152  306.00000 -1877.0036   713%  32.1  810s
 7593913 6157554 -1346.5541   80  129  306.00000 -1875.0806   713%  32.1  815s
 7653717 6205095 -1007.0737   91   92  306.00000 -1872.9465   712%  32.1  820s
 7705164 6247970 -1274.7767   78  139  306.00000 -1871.4839   712%  32.1  825s
 7762528 6293962 -1350.3158   85  150  306.00000 -1869.4215   711%  32.1  830s
 7822475 6342231  145.72608  108   36  306.00000 -1867.3932   710%  32.1  835s
 7877601 6388604 -1377.6104   70  143  306.00000 -1865.5809   710%  32.0  840s
 7936227 6434544 -565.48360   95   85  306.00000 -1863.7595   709%  32.0  845s
 7994294 6479774 -945.62355   90   97  306.00000 -1861.7995   708%  32.0  850s
 8053448 6527778  126.25208  144   47  306.00000 -1859.9620   708%  32.0  855s
 8109355 6571506 -1329.6689   96  135  306.00000 -1858.1255   707%  31.9  860s
 8160641 6613879 -541.29021  105   70  306.00000 -1856.7355   707%  32.0  865s
 8203775 6646811 -1350.8537   79  120  306.00000 -1855.4223   706%  32.0  870s
 8259049 6693206 -1481.7610   80  143  306.00000 -1853.7498   706%  31.9  875s
 8314352 6738084 -1389.4265   89  124  306.00000 -1851.9722   705%  31.9  880s
 8368144 6780461 -494.64322  115   91  306.00000 -1850.3698   705%  31.9  885s
 8422186 6824030 -1371.2708   70  146  306.00000 -1848.6940   704%  31.9  890s
 8445551 6840228    5.40970  145   40  306.00000 -1848.0804   704%  31.9  897s
 8471741 6863639 -996.18340  134   86  306.00000 -1847.2674   704%  31.9  900s
 8526884 6905045 -1018.6942   82  110  306.00000 -1845.7088   703%  31.9  905s
 8580826 6949658  -48.10281  126   62  306.00000 -1844.1681   703%  31.9  910s
 8633049 6990617 -1322.5576  101  135  306.00000 -1842.3489   702%  31.9  915s
 8691612 7038543 -1400.1549   78  160  306.00000 -1840.5991   702%  31.9  920s
 8744759 7079939 -1116.8367  108  116  306.00000 -1838.9118   701%  31.9  925s
 8804824 7127180 -714.63243  104   87  306.00000 -1837.0636   700%  31.8  930s
 8868347 7176793 -1380.5983  101  123  306.00000 -1835.1504   700%  31.8  935s
 8924323 7217341  126.07860  157   30  306.00000 -1833.3382   699%  31.8  940s
 8978209 7259249  128.50767   70   54  306.00000 -1831.8305   699%  31.8  945s
 9036205 7307926 -924.05302   99  101  306.00000 -1830.1519   698%  31.8  950s
 9093783 7353606  -61.62611  150   46  306.00000 -1828.5204   698%  31.7  955s
 9134809 7388803 -154.07936  117   56  306.00000 -1827.5409   697%  31.8  960s
 9196158 7436793 -1206.4054   78  131  306.00000 -1825.7293   697%  31.7  965s
 9249714 7480345 -1005.7907   83  123  306.00000 -1824.3731   696%  31.7  970s
 9309905 7528335  -70.48713  130   36  306.00000 -1822.9541   696%  31.7  975s
 9367450 7572959 -1125.3588  127   98  306.00000 -1821.2745   695%  31.7  980s
 9422089 7613496 -1287.3014   76  135  306.00000 -1819.8814   695%  31.7  985s
 9440611 7630264 -1254.2274  101  119  306.00000 -1819.3778   695%  31.7  990s
 9504837 7682259 -663.55741  106   83  306.00000 -1817.6545   694%  31.6  995s
 9564265 7728702 -402.94288  112   66  306.00000 -1816.1263   694%  31.6 1000s
 9622203 7776038 -1284.1598   92  129  306.00000 -1814.7003   693%  31.6 1005s
 9686060 7826763 -792.96149   94   89  306.00000 -1812.9290   692%  31.5 1010s
 9746252 7874220 -592.18828  121   77  306.00000 -1811.3977   692%  31.5 1015s
 9801071 7917489 -873.59753   88   94  306.00000 -1809.9288   691%  31.5 1020s
 9859207 7962424 -713.03006   71   94  306.00000 -1808.4190   691%  31.5 1025s
 9915285 8005753 -1200.9221   84  108  306.00000 -1806.9054   690%  31.5 1030s
 9976010 8053102 -793.78274  106   83  306.00000 -1805.4102   690%  31.5 1035s
 10035886 8100696 -1543.1700   74  129  306.00000 -1803.9323   690%  31.4 1040s
 10096948 8146097 -1065.3389   66  122  306.00000 -1802.4000   689%  31.4 1045s
 10153471 8192084 -1196.0356   81  117  306.00000 -1801.1132   689%  31.4 1051s
 10195838 8227248 -1316.6308   95  118  306.00000 -1799.9877   688%  31.4 1055s
 10254278 8273811 -961.89465   86   94  306.00000 -1798.6698   688%  31.4 1060s
 10310069 8319724 -1058.7478   98  117  306.00000 -1797.2204   687%  31.4 1065s
 10371373 8369486 -1002.0096   97  122  306.00000 -1795.8421   687%  31.4 1070s
 10426438 8412570 -1115.9578   83  119  306.00000 -1794.7104   687%  31.4 1075s
 10481100 8457067 -692.82743   88   81  306.00000 -1793.2517   686%  31.4 1080s
 10508921 8474816 -622.27586   80   79  306.00000 -1792.6610   686%  31.4 1085s
 10559588 8518248 -851.68579  103   99  306.00000 -1791.4304   685%  31.4 1090s
 10622389 8567543 -1030.2033  105  105  306.00000 -1790.0167   685%  31.3 1095s
 10682001 8617106 -1310.3383  119  123  306.00000 -1788.5955   685%  31.3 1100s
 10734563 8658651 -1173.7977  119  120  306.00000 -1787.4827   684%  31.3 1105s
 10781416 8694461 -1446.3872   81  144  306.00000 -1786.3470   684%  31.3 1110s
 10841842 8742953 -645.01815  130   72  306.00000 -1784.8910   683%  31.3 1115s
 10902543 8790776 -345.72624  157   48  306.00000 -1783.5407   683%  31.3 1120s
 10956790 8833360 -1448.8480   94  120  306.00000 -1782.3397   682%  31.3 1125s
 11012726 8877739 -426.63257  152   64  306.00000 -1781.1634   682%  31.3 1130s
 11074220 8925696 -1316.9621   58  136  306.00000 -1779.8394   682%  31.3 1135s
 11134858 8973518 -1238.5021   85  139  306.00000 -1778.4159   681%  31.3 1140s
 11191473 9017395 -1715.5143   86  160  306.00000 -1777.0774   681%  31.3 1145s
 11247158 9061318 -789.64899  107   90  306.00000 -1775.8349   680%  31.2 1150s
 11309128 9111822 -842.81439  122   97  306.00000 -1774.5064   680%  31.2 1155s
 11368377 9157044 -1364.6628  105  141  306.00000 -1773.2943   680%  31.2 1160s
 11429682 9205743 -955.13094   94   90  306.00000 -1772.0283   679%  31.2 1165s
 11482879 9247926  210.65263  116   26  306.00000 -1770.9573   679%  31.2 1170s
 11543516 9294946 -1446.2279   84  123  306.00000 -1769.4849   678%  31.2 1175s
 11601151 9337814 -123.51931  134   38  306.00000 -1768.0055   678%  31.2 1180s
 11641119 9368204 -444.79740  118   70  306.00000 -1767.0852   677%  31.2 1185s
 11696348 9412811 -1203.9548   90  133  306.00000 -1765.9467   677%  31.2 1190s
 11757210 9460793 -1175.2995   88  123  306.00000 -1764.6516   677%  31.1 1195s
 11813524 9505952 -1387.9936  107  118  306.00000 -1763.5227   676%  31.1 1200s
 11871138 9550745 -1176.8867   84  117  306.00000 -1762.3318   676%  31.1 1205s
 11928652 9596970 -1362.2028  108  128  306.00000 -1761.1833   676%  31.1 1210s
 11963871 9621472 -1115.2992   70  113  306.00000 -1760.4418   675%  31.1 1215s
 12009004 9660695 -1278.0927   94  116  306.00000 -1759.5715   675%  31.1 1220s
 12067613 9707472 -962.42218  103  107  306.00000 -1758.3745   675%  31.1 1225s
 12086621 9721147 -1301.5330   91  126  306.00000 -1758.0210   675%  31.1 1230s
 12145977 9769969 -1108.7775  108  116  306.00000 -1756.8253   674%  31.1 1235s
