
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 13:12:53 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random18.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 324 columns and 0 nonzeros
Model fingerprint: 0xaeabdc52
Model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3816.0000000
Found heuristic solution: objective 997.0000000
Found heuristic solution: objective 502.0000000
Found heuristic solution: objective 466.0000000
Presolve time: 0.08s
Presolved: 0 rows, 324 columns, 0 nonzeros
Presolved model has 11340 quadratic objective terms
Variable types: 0 continuous, 324 integer (324 binary)

Root relaxation: objective -4.699711e+03, 327 iterations, 0.05 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 5038537 4567189 -2635.9018   79  228  378.00000 -3085.5739   916%   5.1  590s
 5045091 4601134 -1703.4837  158  153  378.00000 -3085.3007   916%   5.1  595s
 5111101 4636609 -146.49954  230   83  378.00000 -3084.0174   916%   5.1  600s
 5153462 4674416  184.96380  246   71  378.00000 -3083.1420   916%   5.1  605s
 5195570 4713615 -2416.9403   65  239  378.00000 -3082.4938   915%   5.1  610s
 5227827 4742847 -1907.1063   51  193  378.00000 -3081.7624   915%   5.1  615s
 5265932 4775196 -967.97541   64  169  378.00000 -3080.6585   915%   5.1  620s
 5309188 4814972 -1838.7039   60  195  378.00000 -3079.9637   915%   5.1  625s
 5346721 4849190 -324.16992   91  134  378.00000 -3079.0398   915%   5.1  630s
 5396014 4894805 -105.89497  117  136  378.00000 -3078.1570   914%   5.1  635s
 5439475 4933409 -2421.0367   68  224  378.00000 -3077.1922   914%   5.1  640s
 5472650 4961053     cutoff   83       378.00000 -3076.5586   914%   5.1  646s
 5500594 4989795 -921.18282  160  153  378.00000 -3075.8401   914%   5.1  650s
 5544280 5028646 -1987.9976   79  218  378.00000 -3074.8686   913%   5.1  655s
 5590693 5069564  151.04701  175  105  378.00000 -3073.7103   913%   5.1  660s
 5634183 5108693  -69.83905   90  130  378.00000 -3072.5952   913%   5.1  665s
 5676674 5148452 -2258.4849  101  220  378.00000 -3071.9498   913%   5.1  670s
 5723005 5190674 -2213.7370   97  212  378.00000 -3070.7786   912%   5.1  675s
 5758663 5222611 -2266.9520   90  210  378.00000 -3070.3496   912%   5.1  680s
 5801791 5260741 -2292.4813   49  219  378.00000 -3069.4218   912%   5.1  685s
 5832898 5292305 -1801.0831  100  196  378.00000 -3068.9495   912%   5.1  690s
 5882782 5337467 -1563.6283  164  159  378.00000 -3068.1869   912%   5.1  695s
 5908086 5357156 -2743.2995   49  255  378.00000 -3067.7657   912%   5.1  702s
 5908118 5386162 -2447.6947   49  237  378.00000 -3067.6753   912%   5.1  714s
 5940150 5388887 -2431.3524   67  234  378.00000 -3067.1735   911%   5.1  715s
 5973493 5418377 -2770.7618   51  229  378.00000 -3066.4338   911%   5.1  720s
 6022685 5462962 -1851.4117  117  175  378.00000 -3065.4846   911%   5.1  725s
 6073511 5509839 -181.45205  196  114  378.00000 -3064.5318   911%   5.1  730s
 6114721 5547518 -2683.5869   56  252  378.00000 -3063.8029   911%   5.1  735s
 6153540 5583489 -2421.7367   77  225  378.00000 -3063.1091   910%   5.1  740s
 6199368 5624715 -1930.2735  136  180  378.00000 -3062.3570   910%   5.1  745s
 6243497 5665336 -2885.8895   71  252  378.00000 -3061.2960   910%   5.1  750s
 6292496 5708319 -777.25634   70  163  378.00000 -3060.4291   910%   5.1  755s
 6338906 5751140 -871.21483  201  115  378.00000 -3059.4601   909%   5.1  760s
 6385582 5793303 -832.53676  177  133  378.00000 -3058.5585   909%   5.1  765s
 6425479 5828574 -1894.1918  133  173  378.00000 -3057.8571   909%   5.1  770s
 6458182 5857550 -2874.1144   51  246  378.00000 -3057.1258   909%   5.1  775s
 6496883 5894317 -2065.1884  104  189  378.00000 -3056.5769   909%   5.1  780s
 6524434 5916729 -2385.1734   51  235  378.00000 -3056.1566   909%   5.1  785s
 6553945 5946483 -1732.0397  108  189  378.00000 -3055.7038   908%   5.1  790s
 6597347 5984045 -775.95272   84  165  378.00000 -3054.7474   908%   5.1  795s
 6632316 6017063 -1724.3730  141  153  378.00000 -3054.0729   908%   5.1  800s
 6683409 6061089 -798.97496   81  179  378.00000 -3053.2049   908%   5.1  805s
 6730321 6102936  296.33358  129  119  378.00000 -3052.4303   908%   5.1  810s
 6776174 6143248 -2518.4939  104  217  378.00000 -3051.6824   907%   5.1  815s
 6824073 6188126 -2737.7180   50  228  378.00000 -3051.0006   907%   5.1  820s
 6869981 6229623 -2692.5881   57  228  378.00000 -3050.3095   907%   5.1  825s
 6916767 6271816 -1234.8527   94  182  378.00000 -3049.4293   907%   5.1  830s
 6960658 6311313 -2562.7975   59  223  378.00000 -3048.6715   907%   5.1  835s
 7002312 6348646 -1641.2015  137  181  378.00000 -3048.0305   906%   5.1  840s
 7047087 6390845 -102.01399   84  125  378.00000 -3047.5303   906%   5.1  845s
 7099551 6438730 -2664.4613   80  241  378.00000 -3046.6972   906%   5.1  850s
 7130548 6466724 -2678.9745   52  239  378.00000 -3046.1498   906%   5.1  855s
 7168485 6502088 -2026.2496  128  195  378.00000 -3045.6417   906%   5.1  860s
 7215780 6544910 -2398.3187   94  210  378.00000 -3045.0641   906%   5.1  865s
 7268533 6592282 -2229.8822   84  198  378.00000 -3044.2103   905%   5.1  870s
 7311255 6630782 -2197.5659  126  188  378.00000 -3043.4944   905%   5.1  875s
 7350013 6668066 -1499.0282  172  140  378.00000 -3043.1313   905%   5.1  880s
 7395189 6707870 -2631.7240   58  218  378.00000 -3042.1894   905%   5.1  885s
 7432606 6742504 -2660.1102   77  228  378.00000 -3041.8717   905%   5.1  890s
 7486785 6791005 -2229.9075  104  198  378.00000 -3040.9452   904%   5.1  895s
 7537205 6836179 -2418.8078   56  222  378.00000 -3040.1866   904%   5.1  900s
 7583152 6876386 -2734.5583   56  255  378.00000 -3039.2792   904%   5.1  905s
 7622247 6911892 -2288.3690   58  215  378.00000 -3038.6474   904%   5.1  910s
 7658636 6946529  288.84850  250   59  378.00000 -3038.2911   904%   5.1  915s
 7689109 6973891 -1703.9135  100  189  378.00000 -3037.7425   904%   5.1  920s
 7726585 7004964 -1972.3392   63  223  378.00000 -3036.9929   903%   5.1  925s
 7776193 7050258 -525.12155   92  135  378.00000 -3036.2491   903%   5.1  930s
 7812900 7084504 -1964.4197   60  211  378.00000 -3035.6907   903%   5.1  935s
 7864232 7131052 -2775.7000   64  225  378.00000 -3034.7499   903%   5.1  940s
