
Gurobi 11.0.0 (linux64) logging started Fri Aug 23 01:41:57 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random16.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 256 columns and 0 nonzeros
Model fingerprint: 0x728dffb8
Model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3296.0000000
Found heuristic solution: objective 721.0000000
Found heuristic solution: objective 532.0000000
Found heuristic solution: objective 434.0000000
Found heuristic solution: objective 414.0000000
Presolve time: 0.09s
Presolved: 0 rows, 256 columns, 0 nonzeros
Presolved model has 7936 quadratic objective terms
Variable types: 0 continuous, 256 integer (256 binary)

Root relaxation: objective -3.374220e+03, 255 iterations, 0.03 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1284082 1126214 -2965.5573   66  250  304.00000 -2965.5573  1076%  48.2  640s
 1302213 1140909 -571.02589  134   46  304.00000 -2965.5573  1076%  48.2  646s
 1316530 1154292 -2965.5573   94  230  304.00000 -2965.5573  1076%  48.2  650s
 1333961 1167079 -2965.5573   79  237  304.00000 -2965.5573  1076%  48.1  655s
 1349121 1181093 -2965.5573   76  256  304.00000 -2965.5573  1076%  48.0  660s
 1363152 1194351 -2965.5573   74  254  304.00000 -2965.5573  1076%  47.8  665s
 1380554 1209142 -2965.5573   87  254  304.00000 -2965.5573  1076%  47.6  670s
 1390408 1216463 -2965.5573  102  228  304.00000 -2965.5573  1076%  47.7  675s
 1402393 1229441 -2965.5573   56  171  304.00000 -2965.5573  1076%  47.8  681s
 1413676 1238121 -2965.5573   84  132  304.00000 -2965.5573  1076%  47.7  685s
 1430596 1252658 -2965.5573   62  275  304.00000 -2965.5573  1076%  47.6  690s
 1446468 1266103 -2965.5573   65  211  304.00000 -2965.5573  1076%  47.4  695s
 1459459 1276010 -2965.5573   61  260  304.00000 -2965.5573  1076%  47.3  703s
 1464308 1283683 -2965.5573   74  209  304.00000 -2965.5573  1076%  47.3  706s
 1479085 1297397 -2965.5573  100  200  304.00000 -2965.5573  1076%  47.2  711s
 1496251 1312318 -2965.5573   64  234  304.00000 -2965.5573  1076%  47.0  716s
 1507984 1319843 -2965.5573   81  229  304.00000 -2965.5573  1076%  47.0  720s
 1516766 1328131 -2965.5573   75  200  304.00000 -2965.5573  1076%  47.2  725s
 1528714 1340580 -2965.5573  120  160  304.00000 -2965.5573  1076%  47.3  730s
 1540845 1349288 -2965.5573   77  243  304.00000 -2965.5573  1076%  47.3  735s
 1554932 1362358 -2965.5573   69  237  304.00000 -2965.5573  1076%  47.2  740s
 1564614 1369373 -1188.8537  101   71  304.00000 -2965.5573  1076%  47.2  745s
 1582074 1383845 -887.61709  167   43  304.00000 -2965.5573  1076%  47.1  750s
 1594206 1393835 -2965.5573   70  203  304.00000 -2965.5573  1076%  47.1  755s
 1605115 1404837 -2965.5573  112  117  304.00000 -2965.5573  1076%  47.3  761s
 1617446 1416959 -2965.5573   93  222  304.00000 -2965.5573  1076%  47.3  766s
 1630029 1426614 -2965.5573   72  214  304.00000 -2965.5573  1076%  47.2  770s
 1647758 1444354 -2965.5573   80  214  304.00000 -2965.5573  1076%  47.1  776s
 1663774 1457779 -2965.5573   58  240  304.00000 -2965.5573  1076%  46.9  781s
 1674879 1466699 -2965.5573   71  256  304.00000 -2965.5573  1076%  46.9  785s
 1689600 1479440 -2965.5573  116  182  304.00000 -2965.5573  1076%  46.8  790s
 1707106 1494793 -2965.5573   82  190  304.00000 -2965.5573  1076%  46.7  796s
 1718978 1504547 -2965.5573   79  233  304.00000 -2965.5573  1076%  46.6  800s
 1732880 1517841 -2965.5573   90  212  304.00000 -2965.5573  1076%  46.6  805s
 1748753 1531772 -2965.5573   74  251  304.00000 -2965.5573  1076%  46.5  810s
 1764519 1542821 -395.80930   96   57  304.00000 -2965.5573  1076%  46.4  816s
 1771620 1551166 -2965.5573  135  129  304.00000 -2965.5573  1076%  46.5  820s
 1787584 1564321   48.84315  213   29  304.00000 -2965.5573  1076%  46.5  826s
 1798295 1575037 -2965.5573  151  100  304.00000 -2965.5573  1076%  46.4  830s
 1814191 1588226 -2965.5573   84  247  304.00000 -2965.5573  1076%  46.4  835s
 1827591 1600293 -2965.5573   70  242  304.00000 -2965.5573  1076%  46.3  840s
 1842130 1612545 -2965.5573   95  207  304.00000 -2965.5573  1076%  46.2  845s
 1856549 1627145 -2965.5573   67  249  304.00000 -2965.5573  1076%  46.1  850s
 1875826 1640553 -2965.5573   78  206  304.00000 -2965.5573  1076%  46.0  855s
 1892048 1655028 -2965.5573   86  177  304.00000 -2965.5573  1076%  45.9  860s
 1908157 1669577 -2965.5573   56  194  304.00000 -2965.5573  1076%  45.8  866s
 1918165 1680702 -2965.5573   97  187  304.00000 -2965.5573  1076%  45.7  870s
 1936873 1693965 -2965.5573   64  263  304.00000 -2965.5573  1076%  45.6  875s
 1948844 1706272 -2965.5573   88  180  304.00000 -2965.5573  1076%  45.6  880s
 1965628 1719262 -2965.5573   89  197  304.00000 -2965.5573  1076%  45.5  885s
 1979946 1731167 -2371.4038  170   84  304.00000 -2965.5573  1076%  45.4  891s
 1991339 1744749 -2965.5573   69  254  304.00000 -2965.5573  1076%  45.5  896s
 2009882 1760707 -2965.5573   86  215  304.00000 -2965.5573  1076%  45.5  900s
 2032591 1779577 -2965.5573   69  263  304.00000 -2965.5573  1076%  45.4  905s
 2049553 1794427 -2965.5573  116  225  304.00000 -2965.5573  1076%  45.3  910s
 2063024 1806448 -2965.5573   97  245  304.00000 -2965.5573  1076%  45.4  916s
 2075423 1816993 -2965.5573   76  263  304.00000 -2965.5573  1076%  45.4  920s
 2086553 1827941 -2965.5573   72  232  304.00000 -2965.5573  1076%  45.5  925s
 2102535 1842379 -2965.5573  106  131  304.00000 -2965.5573  1076%  45.4  931s
 2114439 1851142 -2965.5573   88  159  304.00000 -2965.5573  1076%  45.4  935s
 2131602 1867170 -2965.5573   75  272  304.00000 -2965.5573  1076%  45.3  941s
 2143489 1875317 -2965.5573   90  193  304.00000 -2965.5573  1076%  45.3  945s
 2158265 1888524 -2965.5573   69  230  304.00000 -2965.5573  1076%  45.2  950s
 2168910 1898924 -2965.5573   85  222  304.00000 -2965.5573  1076%  45.2  956s
 2180636 1910495 -2965.5573   83  206  304.00000 -2965.5573  1076%  45.2  960s
 2200394 1925063 -2965.5573   62  221  304.00000 -2965.5573  1076%  45.1  965s
 2212036 1936361 -2965.5573   59  186  304.00000 -2965.5573  1076%  45.1  970s
 2222799 1942910 -1332.3627  169   54  304.00000 -2965.5573  1076%  45.1  990s
 2235291 1957609 -2965.5573  115  141  304.00000 -2965.5573  1076%  45.0  996s
 2250145 1971155 -2965.5573   86  214  304.00000 -2965.5573  1076%  45.0 1001s
 2261205 1980812 -2965.5573   58  255  304.00000 -2965.5573  1076%  44.9 1005s
 2276967 1992783 -2965.5573   92  226  304.00000 -2965.5573  1076%  44.8 1010s
 2287024 1999119 -1974.4115  173   84  304.00000 -2965.5573  1076%  44.8 1016s
 2295810 2009988 -2965.5573  106  178  304.00000 -2965.5573  1076%  44.8 1020s
 2309194 2021820 -2965.5573   82  221  304.00000 -2965.5573  1076%  44.7 1025s
 2324380 2033669 -2965.5573   97  139  304.00000 -2965.5573  1076%  44.7 1030s
 2338861 2047688 -2965.5573  126  137  304.00000 -2965.5573  1076%  44.7 1036s
 2350787 2057881 -2965.5573   80  244  304.00000 -2965.5573  1076%  44.7 1040s
 2363183 2066096 -2965.5573   80  250  304.00000 -2965.5573  1076%  44.7 1045s
 2374619 2078060 -2965.5573   75  207  304.00000 -2965.5573  1076%  44.8 1050s
 2389827 2091248 -2965.5573   80  232  304.00000 -2965.5573  1076%  44.7 1055s
 2404458 2105267 -2965.5573  147  153  304.00000 -2965.5573  1076%  44.6 1060s
 2419107 2117797 -2965.5573   80  219  304.00000 -2965.5573  1076%  44.6 1065s
 2428600 2125887 -2965.5573   67  225  304.00000 -2965.5573  1076%  44.7 1070s
 2448007 2142656 -2965.5573   85  181  304.00000 -2965.5573  1076%  44.6 1075s
 2460270 2153536 -2965.5573   69  248  304.00000 -2965.5573  1076%  44.6 1080s
 2475498 2166072 -2965.5573   63  260  304.00000 -2965.5573  1076%  44.5 1085s
 2489338 2179774 -2965.5573   91  264  304.00000 -2965.5573  1076%  44.4 1090s
 2504540 2192113 -2965.5573   77  245  304.00000 -2965.5573  1076%  44.4 1095s
 2519385 2204011 -2965.5573   76  235  304.00000 -2965.5573  1076%  44.4 1100s
 2534641 2217633 -2965.5573   75  266  304.00000 -2965.5573  1076%  44.3 1105s
 2547711 2227274 -2965.5573   62  243  304.00000 -2965.5573  1076%  44.3 1110s
 2557131 2239242 -2965.5573   95  240  304.00000 -2965.5573  1076%  44.4 1115s
 2571411 2250560 -2965.5573   78  153  304.00000 -2965.5573  1076%  44.3 1121s
 2584179 2261922 -2965.5573   63  252  304.00000 -2965.5573  1076%  44.3 1125s
 2596843 2272757 -2965.5573   70  247  304.00000 -2965.5573  1076%  44.3 1130s
 2616191 2287538 -2965.5573   62  209  304.00000 -2965.5573  1076%  44.2 1135s
 2626437 2298431 -2965.5573   79  214  304.00000 -2965.5573  1076%  44.2 1140s
 2647118 2316756 -2965.5573   62  271  304.00000 -2965.5573  1076%  44.1 1146s
 2662435 2327811 -2965.5573   76  173  304.00000 -2965.5573  1076%  44.0 1151s
 2677484 2344064 -2965.5573  107  234  304.00000 -2965.5573  1076%  44.0 1155s
 2691854 2353938 -2965.5573   89  227  304.00000 -2965.5573  1076%  43.9 1160s
 2709541 2370640 -2965.5573   92  176  304.00000 -2965.5573  1076%  43.9 1166s
 2722687 2382530 -2965.5573   71  256  304.00000 -2965.5573  1076%  43.8 1170s
 2744055 2400909 -2965.5573   81  212  304.00000 -2965.5573  1076%  43.7 1175s
 2756588 2412348 -2965.5573   85  251  304.00000 -2965.5573  1076%  43.7 1180s
 2775795 2428501 -2965.5573   67  191  304.00000 -2965.5573  1076%  43.6 1185s
 2790162 2441695 -2965.5573   75  238  304.00000 -2965.5573  1076%  43.6 1190s
 2800464 2449890 -2965.5573  121  189  304.00000 -2965.5573  1076%  43.6 1195s
 2815680 2462926 -2965.5573   86  237  304.00000 -2965.5573  1076%  43.6 1200s
 2831643 2475336 -2965.5573   57  173  304.00000 -2965.5573  1076%  43.5 1206s
 2842866 2486929     cutoff  174       304.00000 -2965.5573  1076%  43.5 1210s
 2859075 2500242 -2965.5573   57  253  304.00000 -2965.5573  1076%  43.5 1215s
 2869519 2510886 -2965.5573  101  181  304.00000 -2965.5573  1076%  43.6 1221s
 2888019 2527175 -2965.5573   66  240  304.00000 -2965.5573  1076%  43.5 1226s
 2901659 2537517 -2965.5573   88  226  304.00000 -2965.5573  1076%  43.5 1231s
 2915593 2550644 -2965.5573   83  202  304.00000 -2965.5573  1076%  43.5 1235s
 2931509 2560413 -2965.5573  111  152  304.00000 -2965.5573  1076%  43.4 1240s
 2946994 2575742 -2490.5648   84   98  304.00000 -2965.5573  1076%  43.4 1246s
 2960098 2586458 -2965.5573   81  200  304.00000 -2965.5573  1076%  43.4 1251s
 2969793 2596817 -2965.5573  151  152  304.00000 -2965.5573  1076%  43.4 1255s
 2991197 2614341 -2965.5573  109  221  304.00000 -2965.5573  1076%  43.3 1260s
 3002469 2621027 -2965.5573   72  206  304.00000 -2965.5573  1076%  43.2 1266s
