
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 23:40:18 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random15.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 225 columns and 0 nonzeros
Model fingerprint: 0xc509cc8e
Model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2940.0000000
Found heuristic solution: objective 712.0000000
Found heuristic solution: objective 498.0000000
Found heuristic solution: objective 445.0000000
Found heuristic solution: objective 444.0000000
Found heuristic solution: objective 409.0000000
Presolve time: 0.05s
Presolved: 0 rows, 225 columns, 0 nonzeros
Presolved model has 6525 quadratic objective terms
Variable types: 0 continuous, 225 integer (225 binary)
Found heuristic solution: objective 386.0000000

Root relaxation: objective -4.331011e+03, 234 iterations, 0.01 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 2886562 2415009 -3933.8094   99  158  320.00000 -3933.8094  1329%  36.3  820s
 2904568 2431324 -3933.8094   92  168  320.00000 -3933.8094  1329%  36.3  825s
 2927089 2448859 -3933.8094   67  202  320.00000 -3933.8094  1329%  36.3  830s
 2947481 2466943 -3933.8094   93  155  320.00000 -3933.8094  1329%  36.3  835s
 2967850 2482109 -3933.8094   85  162  320.00000 -3933.8094  1329%  36.3  840s
 2992886 2503331 -356.53443  147   43  320.00000 -3933.8094  1329%  36.2  845s
 3013892 2518317 -3933.8094   97  162  320.00000 -3933.8094  1329%  36.2  850s
 3035745 2538423 -3933.8094   81  169  320.00000 -3933.8094  1329%  36.2  855s
 3056496 2554922 -3524.1636   99  131  320.00000 -3933.8094  1329%  36.2  860s
 3082734 2575695 -2184.7223  138   96  320.00000 -3933.8094  1329%  36.1  865s
 3107876 2595558 -3933.8094   90  164  320.00000 -3933.8094  1329%  36.1  870s
 3126720 2613236 -3433.9413  104  131  320.00000 -3933.8094  1329%  36.1  875s
 3144608 2628232 -3933.8094   86  160  320.00000 -3933.8094  1329%  36.1  880s
 3174135 2650833 -3933.8094   87  163  320.00000 -3933.8094  1329%  36.0  885s
 3192615 2666780     cutoff  161       320.00000 -3933.8094  1329%  36.1  890s
 3213995 2684439 -1364.7515  147   65  320.00000 -3933.8094  1329%  36.0  895s
 3242023 2707133 -3885.5937   99  163  320.00000 -3933.8094  1329%  36.0  900s
 3267224 2727335 -3933.8094  106  180  320.00000 -3933.8094  1329%  35.9  905s
 3285086 2742905 -844.03755  141   63  320.00000 -3933.8094  1329%  35.9  910s
 3310920 2763800 -3933.8094   91  171  320.00000 -3933.8094  1329%  36.0  915s
 3333852 2780603 -3550.7729  108  141  320.00000 -3933.8094  1329%  35.9  920s
 3358647 2800739 -3933.8094   86  172  320.00000 -3933.8094  1329%  35.9  925s
 3380935 2819852 -1358.6440  133   81  320.00000 -3933.8094  1329%  35.9  930s
 3407886 2843138 -3445.2975   85  145  320.00000 -3933.8094  1329%  35.8  935s
 3420641 2852674 -2400.4939   88  113  320.00000 -3933.8094  1329%  35.8  940s
 3448847 2876016 -2606.8307  100  119  320.00000 -3933.8094  1329%  35.8  945s
 3486662 2906290 -2987.7712   86  139  320.00000 -3933.8094  1329%  35.7  950s
 3510727 2926605 -2297.2780  117   94  320.00000 -3933.8094  1329%  35.7  955s
