
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:38:05 2024

Set parameter LogFile to value "gurobi_log/nei_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0x16e538e7
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2996.0000000
Found heuristic solution: objective 516.0000000
Found heuristic solution: objective 398.0000000
Found heuristic solution: objective 395.0000000
Presolve time: 0.34s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Found heuristic solution: objective 351.0000000

Root relaxation: objective -2.078594e+03, 197 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 6401891 4989932 -1555.8883   94  111  306.00000 -1555.8883   608%  29.0 1105s
 6433147 5013325 -1555.8883  104   95  306.00000 -1555.8883   608%  29.0 1110s
 6467790 5039229 -1312.9702  120   52  306.00000 -1555.8883   608%  28.9 1115s
 6517201 5076672 -1555.8883   99   87  306.00000 -1555.8883   608%  28.9 1120s
 6553335 5103708     cutoff  156       306.00000 -1555.8883   608%  28.9 1125s
 6592817 5133145 -1555.8883  100  116  306.00000 -1555.8883   608%  28.9 1130s
 6632357 5162458 -1555.8883  103  114  306.00000 -1555.8883   608%  28.9 1135s
 6671426 5193029 -1555.8883  151   77  306.00000 -1555.8883   608%  28.8 1140s
 6706418 5219126 -1555.8883  116  143  306.00000 -1555.8883   608%  28.8 1145s
 6721779 5228305 -395.04547  126   36  306.00000 -1555.8883   608%  28.8 1151s
 6743579 5247464 -1555.8883   93  135  306.00000 -1555.8883   608%  28.8 1155s
 6778225 5275311 -1555.8883  119   67  306.00000 -1555.8883   608%  28.8 1160s
 6820127 5304843 -1555.8883  104  121  306.00000 -1555.8883   608%  28.8 1165s
 6857098 5333098 -1555.8883   98  125  306.00000 -1555.8883   608%  28.8 1170s
 6895582 5360791 -1555.8883  100  109  306.00000 -1555.8883   608%  28.8 1175s
 6934325 5390333 -1555.8883  132   80  306.00000 -1555.8883   608%  28.7 1180s
 6972070 5419331 -1555.8883   94  123  306.00000 -1555.8883   608%  28.7 1185s
 7005821 5445077 -1555.8883  112   89  306.00000 -1555.8883   608%  28.7 1190s
 7045889 5474077 -1555.8883  105   89  306.00000 -1555.8883   608%  28.7 1195s
 7083157 5502290     cutoff  135       306.00000 -1555.8883   608%  28.7 1200s
 7119647 5530354 -187.01483  160   38  306.00000 -1555.8883   608%  28.7 1205s
 7157398 5558985  124.79268  142   24  306.00000 -1555.8883   608%  28.7 1210s
 7191825 5586083  269.53410  140   25  306.00000 -1555.8883   608%  28.7 1215s
 7231537 5616142     cutoff  165       306.00000 -1555.8883   608%  28.6 1220s
 7273067 5648672 -1555.8883  116   61  306.00000 -1555.8883   608%  28.6 1225s
 7306188 5673268 -1444.3693  120   63  306.00000 -1555.8883   608%  28.6 1230s
 7345706 5702852 -1555.8883  108  107  306.00000 -1555.8883   608%  28.6 1235s
 7390162 5736406 -1555.8883  100  102  306.00000 -1555.8883   608%  28.6 1240s
 7433849 5769100 -1555.8883  116  105  306.00000 -1555.8883   608%  28.5 1245s
 7480285 5802455 -484.12676  141   35  306.00000 -1555.8883   608%  28.5 1250s
