
Gurobi 11.0.0 (linux64) logging started Thu Aug 22 21:33:53 2024

Set parameter LogFile to value "gurobi_log/seg_penalty/gurobi_log/random14.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 196 columns and 0 nonzeros
Model fingerprint: 0xc040ad5e
Model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+02, 3e+02]
  QObjective range [1e+01, 3e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2324.0000000
Found heuristic solution: objective 513.0000000
Found heuristic solution: objective 413.0000000
Found heuristic solution: objective 401.0000000
Presolve time: 0.03s
Presolved: 0 rows, 196 columns, 0 nonzeros
Presolved model has 5292 quadratic objective terms
Variable types: 0 continuous, 196 integer (196 binary)

Root relaxation: objective -2.129000e+03, 195 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 5608173 4492090 -357.25339  133   52  307.00000 -1738.7397   666%  29.6 1045s
 5640561 4517583 -1738.7397  122   96  307.00000 -1738.7397   666%  29.5 1050s
 5671039 4542397 -1738.7397  105  117  307.00000 -1738.7397   666%  29.6 1055s
 5706053 4568439 -1719.2194   98   78  307.00000 -1738.7397   666%  29.5 1060s
 5735208 4592027 -1738.7397  106  132  307.00000 -1738.7397   666%  29.5 1065s
 5770940 4619794 -1738.7397   77  138  307.00000 -1738.7397   666%  29.5 1070s
 5806044 4646801 -1738.7397   85  129  307.00000 -1738.7397   666%  29.5 1075s
 5835597 4669446 -1738.7397   88  141  307.00000 -1738.7397   666%  29.5 1080s
 5864914 4692816 -1738.7397   96  126  307.00000 -1738.7397   666%  29.5 1085s
 5895227 4715887   75.28277  143   26  307.00000 -1738.7397   666%  29.5 1090s
 5912013 4730361 -1738.7397  122  118  307.00000 -1738.7397   666%  29.5 1095s
 5939622 4751201 -1738.7397  105  120  307.00000 -1738.7397   666%  29.5 1100s
 5969883 4774266 -1688.9964  119   91  307.00000 -1738.7397   666%  29.5 1105s
 6002404 4799627 -137.42060  147   37  307.00000 -1738.7397   666%  29.4 1110s
 6029475 4820974 -1738.7397  105  106  307.00000 -1738.7397   666%  29.4 1115s
 6064936 4847297 -1738.7397  114  126  307.00000 -1738.7397   666%  29.4 1120s
 6092954 4869664 -1533.6479  130   89  307.00000 -1738.7397   666%  29.4 1125s
 6123111 4892014 -1738.7397   88  127  307.00000 -1738.7397   666%  29.4 1130s
 6153879 4915603 -1738.7397   86  136  307.00000 -1738.7397   666%  29.4 1135s
 6185580 4938928 -1738.7397   89  139  307.00000 -1738.7397   666%  29.4 1140s
 6211181 4959646 -1738.7397  128   88  307.00000 -1738.7397   666%  29.4 1145s
 6243621 4984830 -1738.7397  103  120  307.00000 -1738.7397   666%  29.3 1150s
 6277004 5010358 -1563.6066   91   92  307.00000 -1738.7397   666%  29.3 1155s
 6305534 5032521 -1738.7397  100  115  307.00000 -1738.7397   666%  29.3 1160s
 6332108 5052406 -1738.7397   79  143  307.00000 -1738.7397   666%  29.3 1165s
 6359385 5074066 -1419.4355  145   81  307.00000 -1738.7397   666%  29.3 1170s
 6383061 5092631 -290.48820  104   57  307.00000 -1738.7397   666%  29.3 1175s
 6408554 5111344     cutoff  175       307.00000 -1738.7397   666%  29.3 1180s
 6430511 5129620   50.39199  148   36  307.00000 -1738.7397   666%  29.3 1185s
 6459018 5150571 -1351.7244  131   73  307.00000 -1738.7397   666%  29.3 1190s
 6480619 5168341 -1681.7458  101   83  307.00000 -1738.7397   666%  29.3 1195s
 6502209 5184440 -1209.4236  142   73  307.00000 -1738.7397   666%  29.3 1200s
 6528831 5205513 -1738.7397  118  130  307.00000 -1738.7397   666%  29.3 1205s
 6555252 5224653 -408.10428  149   39  307.00000 -1738.7397   666%  29.3 1210s
 6576694 5241598 -1189.8912  106   76  307.00000 -1738.7397   666%  29.3 1215s
 6598096 5258619 -1174.9372  111   67  307.00000 -1738.7397   666%  29.2 1220s
 6623869 5278939 -1738.7397   95  127  307.00000 -1738.7397   666%  29.2 1225s
 6643403 5293999 -1738.7397   94  128  307.00000 -1738.7397   666%  29.2 1230s
 6665524 5311182 -1738.7397  104  132  307.00000 -1738.7397   666%  29.2 1235s
