
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 03:25:26 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random13.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 169 columns and 0 nonzeros
Model fingerprint: 0x63932d53
Model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [1e+01, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 2912.0000000
Found heuristic solution: objective 836.0000000
Found heuristic solution: objective 638.0000000
Found heuristic solution: objective 441.0000000
Found heuristic solution: objective 417.0000000
Presolve time: 0.25s
Presolved: 0 rows, 169 columns, 0 nonzeros
Presolved model has 4225 quadratic objective terms
Variable types: 0 continuous, 169 integer (169 binary)

Root relaxation: objective -2.325694e+03, 168 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 12934032 9263917 -1082.0179   80   78  375.00000 -2038.3091   644%  20.1  630s
 13062715 9349944 -1856.1236   92   75  375.00000 -2038.3091   644%  20.1  635s
 13184447 9431720     cutoff  120       375.00000 -2038.3091   644%  20.0  640s
 13312965 9515568 -2038.3091  102   98  375.00000 -2038.3091   644%  20.0  645s
 13434598 9597518  136.32123   81   40  375.00000 -2038.3091   644%  20.0  650s
 13558639 9680102 -1552.5608   97   77  375.00000 -2038.3091   644%  20.0  655s
 13649717 9741515 -647.78265  109   52  375.00000 -2038.3091   644%  20.0  660s
 13760628 9814950 -707.06473  116   40  375.00000 -2038.3091   644%  19.9  665s
 13886102 9898465 -1558.5938  113   68  375.00000 -2038.3091   644%  19.9  670s
 14011867 9980752 -1953.6582   93   78  375.00000 -2038.3091   644%  19.9  675s
 14141350 10067338 -1633.5781   69   71  375.00000 -2038.3091   644%  19.9  680s
 14272098 10152905 -1760.2551   87   82  375.00000 -2038.3091   644%  19.8  685s
 14401874 10238806 -405.66339  105   40  375.00000 -2038.3091   644%  19.8  690s
 14531932 10324915 -1638.9413   62   88  375.00000 -2038.3091   644%  19.8  695s
 14656269 10405828 -1792.4436  106   75  375.00000 -2038.3091   644%  19.8  700s
 14781740 10488477 -1123.3918  109   55  375.00000 -2038.3091   644%  19.7  705s
 14905977 10568317 -1267.9186   75   71  375.00000 -2038.3091   644%  19.7  711s
 14998148 10629788     cutoff  113       375.00000 -2038.3091   644%  19.7  715s
 15127118 10713640 -313.67948  107   42  375.00000 -2038.3091   644%  19.7  720s
 15257440 10800365 -1796.3746   86   69  375.00000 -2038.3091   644%  19.7  725s
 15384730 10884343 -1100.2815  105   67  375.00000 -2038.3091   644%  19.6  730s
 15516879 10971594 -1149.4368  103   69  375.00000 -2038.3091   644%  19.6  735s
 15639798 11052212 -1010.2039   78   59  375.00000 -2038.3091   644%  19.6  740s
 15766982 11132734     cutoff  133       375.00000 -2038.3091   644%  19.6  745s
 15891254 11213702 -1592.4593   79   73  375.00000 -2038.3091   644%  19.6  750s
 16011985 11292714 -1115.1493   81   53  375.00000 -2038.3091   644%  19.5  755s
 16109682 11353787 -1405.6861   94   64  375.00000 -2038.3091   644%  19.5  760s
 16205579 11418092  370.27176  108   26  375.00000 -2038.3091   644%  19.5  765s
 16339124 11503979 -1578.1790   78   86  375.00000 -2038.3091   644%  19.5  770s
 16467186 11586954 -964.33948   77   68  375.00000 -2038.3091   644%  19.5  775s
 16601090 11671711 -1614.4893   79   78  375.00000 -2038.3091   644%  19.4  780s
 16725438 11752654 -2038.3091   97   87  375.00000 -2038.3091   644%  19.4  785s
 16839610 11827780   68.62601  115   30  375.00000 -2038.3091   644%  19.4  790s
 16972493 11913488 -1207.9950   73   83  375.00000 -2038.3091   644%  19.4  795s
 17103901 11997606 -1687.1713   77   95  375.00000 -2038.3091   644%  19.4  800s
 17238259 12085009 -1604.3341   87   77  375.00000 -2038.3091   644%  19.3  805s
 17362780 12164187 -1507.8726   79   71  375.00000 -2038.3091   644%  19.3  810s
 17490345 12244152 -1224.4740   90   65  375.00000 -2038.3091   644%  19.3  815s
 17571918 12297208 -1702.0755  121   68  375.00000 -2038.3091   644%  19.3  820s
