
Gurobi 11.0.0 (linux64) logging started Sat Aug 31 22:35:56 2024

Set parameter LogFile to value "gurobi_log/com_penalty/gurobi_log/random17.log"
Gurobi Optimizer version 11.0.0 build v11.0.0rc2 (linux64 - "Ubuntu 22.04.3 LTS")

CPU model: Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 64 physical cores, 64 logical processors, using up to 32 threads

Optimize a model with 0 rows, 289 columns and 0 nonzeros
Model fingerprint: 0xa212863b
Model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [4e+02, 4e+02]
  QObjective range [6e+00, 4e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective 3672.0000000
Found heuristic solution: objective 840.0000000
Found heuristic solution: objective 545.0000000
Presolve time: 0.05s
Presolved: 0 rows, 289 columns, 0 nonzeros
Presolved model has 9537 quadratic objective terms
Variable types: 0 continuous, 289 integer (289 binary)

Root relaxation: objective -3.172816e+03, 290 iterations, 0.03 seconds (0.04 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 7841816 6950270 -2919.7918  152  132  402.00000 -2919.7918   826%  38.5 1160s
 7879066 6979863 -2919.7918   82  211  402.00000 -2919.7918   826%  38.5 1165s
 7918778 7013893 -2919.7918   70  225  402.00000 -2919.7918   826%  38.4 1170s
 7956460 7051363 -2919.7918  120  164  402.00000 -2919.7918   826%  38.4 1175s
 8004685 7090755 -2919.7918  103  160  402.00000 -2919.7918   826%  38.4 1180s
 8048756 7130500 -2919.7918   79  271  402.00000 -2919.7918   826%  38.4 1185s
 8078055 7155594 -2919.7918   72  269  402.00000 -2919.7918   826%  38.3 1190s
 8111329 7185836 -2919.7918  108  225  402.00000 -2919.7918   826%  38.4 1195s
 8155906 7225985 -2919.7918  177  108  402.00000 -2919.7918   826%  38.4 1200s
 8194932 7259483 -2919.7918   74  272  402.00000 -2919.7918   826%  38.4 1205s
 8241622 7301242 -2919.7918   98  264  402.00000 -2919.7918   826%  38.3 1210s
 8285414 7339689 -2919.7918  108  257  402.00000 -2919.7918   826%  38.3 1215s
 8318879 7371056 -2919.7918   65  281  402.00000 -2919.7918   826%  38.3 1220s
 8358934 7405928  -20.01479  255   22  402.00000 -2919.7918   826%  38.3 1225s
 8394414 7437312 -2919.7918  104  206  402.00000 -2919.7918   826%  38.4 1230s
 8438474 7476781 -2919.7918  102  231  402.00000 -2919.7918   826%  38.3 1235s
 8484298 7515447 -2919.7918  158  173  402.00000 -2919.7918   826%  38.3 1240s
 8524352 7552728 -2919.7918  107  237  402.00000 -2919.7918   826%  38.3 1245s
